gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction
TNRC6B,-0.09384963659042889,-1.6512308763726737,0.10181632555569267,7.4154007691034485,7.509250405693877,0.1622889066971561,False,Not Significant
WIZ,0.06865659232723331,1.6507149819818878,0.1019298457438482,8.288858682551723,8.22020209022449,0.16245069165425807,False,Not Significant
SIRT4,-0.06770880981702998,-1.6510085428342711,0.10198887666950213,6.296683868448276,6.364392678265306,0.162525606436543,False,Not Significant
TBCB,0.13325811356544648,1.6516368742255514,0.1022217317700196,10.579399811810346,10.4461416982449,0.16287747051070678,False,Not Significant
KCNK10,0.062409472565094326,1.648681075607946,0.10226009746831342,5.806515851034483,5.744106378469389,0.16291939376214265,False,Not Significant
LGALS14,0.08254488969071172,1.6486373478125946,0.10230600842433722,7.231132526017242,7.14858763632653,0.16297332671557258,False,Not Significant
KCNQ2,0.131872493066151,1.6540513724914172,0.1023576773884708,7.104068010862069,6.972195517795918,0.16303641837421132,False,Not Significant
FLNB,-0.1356801907512324,-1.64726728147467,0.10252408088596278,9.240405553534483,9.376085744285716,0.16328222403650566,False,Not Significant
LTA,0.07339286326706507,1.6465788855329144,0.1027212426321088,6.864641174879311,6.791248311612246,0.16350145680451778,False,Not Significant
MYBL1,0.18151941486101375,1.6474349626619826,0.10271648543249544,6.590936767534483,6.4094173526734695,0.16350145680451778,False,Not Significant
DNAJC15,0.2027576445334276,1.6489862196740082,0.10271643523777531,9.224207538206896,9.021449893673468,0.16350145680451778,False,Not Significant
TMEM230,0.16962004955700394,1.6461545565801698,0.10272222491506922,9.497147319189656,9.327527269632652,0.16350145680451778,False,Not Significant
NRG2,-0.08486791770337732,-1.6469333302213078,0.10269747920040866,5.853466378051724,5.9383342957551015,0.16350145680451778,False,Not Significant
TRMT5,0.0959742684975371,1.6466916354477579,0.10276176772525063,11.237200677068964,11.141226408571427,0.16354513551657585,False,Not Significant
CLSPN,0.05758490792399673,1.6467022317081343,0.10280919653488108,5.221263932413793,5.163679024489796,0.16360135301647447,False,Not Significant
REL,-0.12067667823680495,-1.6467411718077811,0.10285428060144394,6.567081462844827,6.687758141081632,0.16365382650441662,False,Not Significant
INTS9,-0.07794973487121837,-1.6473951230800732,0.1028903414041813,8.438769096965517,8.516718831836736,0.1636919322045333,False,Not Significant
VPS13B,-0.1276448328054185,-1.6450782230642356,0.10294553422264917,7.550480040051724,7.6781248728571425,0.16376046316138224,False,Not Significant
MAGEL2,0.06882987411189223,1.6447638717591282,0.10301362384475451,6.487987062724137,6.419157188612245,0.16384949114532862,False,Not Significant
BTBD1,-0.12999368461998628,-1.6448264563258284,0.10303019641360195,9.220642091931035,9.350635776551021,0.1638565667839292,False,Not Significant
KDM4C,-0.09507750295460848,-1.6446469061898972,0.103048913143098,7.059181177086208,7.154258680040816,0.16386705037404042,False,Not Significant
CERS1 /// GDF1,0.058463128061576164,1.6460269375875267,0.10307615137706387,6.299026593775862,6.240563465714286,0.16389108068953157,False,Not Significant
SMYD2,0.09981764950985372,1.644783264397997,0.10313272962803864,9.85790802722414,9.758090377714286,0.16394246541083773,False,Not Significant
TTC12,-0.042208692674526205,-1.6444355836096574,0.10313056285015962,6.679329703672414,6.72153839634694,0.16394246541083773,False,Not Significant
STX4,0.11373424921428743,1.643990241444385,0.10325405518718911,8.4367022795,8.322968030285713,0.16411602444488543,False,Not Significant
CRP,-0.07602670581562432,-1.6433414800029125,0.10330504797769056,6.461295530551724,6.537322236367348,0.1641777661592766,False,Not Significant
CYTH3,0.08958788064919077,1.6430834781927712,0.10338075372543375,5.504445666465518,5.414857785816327,0.16427096403474423,False,Not Significant
NACA2,0.04572178866502519,1.643158954744198,0.1033880000058849,4.12777038137931,4.082048592714285,0.16427096403474423,False,Not Significant
CDKL5,-0.06775477844862898,-1.6427445514266241,0.10342793705785315,5.958345118775862,6.026099897224491,0.16431510160301932,False,Not Significant
PNO1,0.07617503506298284,1.6418734804683381,0.10394277036119733,8.11010626687931,8.033931231816327,0.16511360383539983,False,Not Significant
