gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction,neg_log10_padj
MARCKSL1,1.0494340110981693,10.919060463815264,1.3820005885590367e-18,11.397447215465517,10.348013204367348,4.2066977374719324e-17,True,Upregulated in Tumor,16.37605869208664
SORD,1.320232157359607,10.842652140301269,1.4294018611148686e-18,9.370973818931036,8.05074166157143,4.331472231607051e-17,True,Upregulated in Tumor,16.363364465450243
CDH3,1.8402256237441943,11.166718409406489,1.626513294656883e-18,10.177197265948276,8.336971642204082,4.884961594952838e-17,True,Upregulated in Tumor,16.311138846308694
FGR,-1.1254264012723443,-11.404948531411556,1.7360189544617114e-18,7.907216356482758,9.032642757755102,5.202282964423509e-17,True,Downregulated in Tumor,16.283806029197912
CA2,-1.6698807976769885,-10.740499698718248,1.7509510098249785e-18,7.443129278241379,9.113010075918368,5.2354209950850856e-17,True,Downregulated in Tumor,16.28104838972707
COLEC12,-1.1373225041653772,-10.935314681125577,1.964879098575311e-18,8.669976980344828,9.807299484510205,5.836338685108865e-17,True,Downregulated in Tumor,16.233859513761796
SOSTDC1,-2.292405263329348,-12.952261529853448,2.0364367139849e-18,6.236833058793103,8.52923832212245,6.035623287172352e-17,True,Downregulated in Tumor,16.219277874497486
TIMP3,-1.390554978046449,-10.901384029626437,2.3674907458539576e-18,10.278340023586205,11.668895001632654,7.001452391732218e-17,True,Downregulated in Tumor,16.154811859944765
LDLR,-1.3894571891259702,-10.741414841492814,2.8515324791342074e-18,9.101195665241377,10.490652854367347,8.341658323701042e-17,True,Downregulated in Tumor,16.078747602930633
MYLK,-1.3026259372702302,-10.617152639324326,3.159447603575126e-18,9.670073846137933,10.972699783408164,9.18574169008772e-17,True,Downregulated in Tumor,16.036885771431358
STK39,1.0323140712079528,11.244805908299941,3.1690593085595954e-18,8.205946419534483,7.17363234832653,9.19095205046844e-17,True,Upregulated in Tumor,16.03663949962048
MYL9,-1.4218197513539756,-10.562681943093464,3.632613655197261e-18,9.278558963482759,10.700378714836734,1.05127994753728e-16,True,Downregulated in Tumor,15.978281619384342
CCNB2,1.1139742471432097,11.267554078109997,4.1092933980214096e-18,8.358499915775862,7.244525668632653,1.1841599205599007e-16,True,Upregulated in Tumor,15.926589642269589
IGFBP3,1.653610219732231,10.576148165985167,4.289959548954363e-18,11.214818079568966,9.561207859836735,1.2335915596620897e-16,True,Upregulated in Tumor,15.908828610762573
TOX3,2.311316003019,11.645336943898915,5.50231052570692e-18,7.961952239896552,5.650636236877552,1.5589879822836274e-16,True,Upregulated in Tumor,15.807157232629004
SEMA3G,-1.5795916846622102,-12.549646029032651,5.8387053090673336e-18,7.300260903827587,8.879852588489797,1.637139050872303e-16,True,Downregulated in Tumor,15.78591443209576
LAMA4,-1.177093306693525,-10.576919417106861,6.070523581261855e-18,7.955854348775864,9.132947655469389,1.6986154492909724e-16,True,Downregulated in Tumor,15.769904930226936
PLSCR4,-1.3125283055246317,-10.447482472637272,6.43230498563253e-18,8.408489450189656,9.721017755714287,1.7887366642144782e-16,True,Downregulated in Tumor,15.747453591068451
PCOLCE2,-1.5475210868251228,-10.873055583659804,6.506080395806742e-18,5.102217716603449,6.649738803428572,1.8018376342075437e-16,True,Downregulated in Tumor,15.744284346400628
RCAN1,-1.1942552607836028,-10.49681620370777,6.643269534079525e-18,8.292504131155173,9.486759391938776,1.8323221990425466e-16,True,Downregulated in Tumor,15.736998156780167
LSM5,1.0238433411590417,10.472773305572984,6.985934511099264e-18,9.188365449689654,8.164522108530612,1.9229104871182598e-16,True,Upregulated in Tumor,15.716040932014986
ADAMTS1,-1.881163858079523,-10.586651176525162,7.223155067217814e-18,7.789093597655173,9.670257455734696,1.9801407856683317e-16,True,Downregulated in Tumor,15.703303930816622
HYAL2,-1.0536191727987347,-10.915025542237379,7.300800163352847e-18,8.698848704793102,9.752467877591837,1.9956098737149207e-16,True,Downregulated in Tumor,15.699924355960908
CENPF,1.3416688217448973,11.499231334829444,7.30911496477163e-18,8.556521974499999,7.214853152755102,1.9956098737149207e-16,True,Upregulated in Tumor,15.699924355960908
MELK,1.3636410135562986,11.132074765083239,7.635546902604953e-18,8.21941609963793,6.855775086081632,2.076346406211387e-16,True,Upregulated in Tumor,15.682700189476797
HLX,-1.0569022544968334,-11.22333442462689,8.024037312737227e-18,6.7434396584827585,7.800341912979592,2.173243773179231e-16,True,Downregulated in Tumor,15.662891556050086
PTGER4,-1.4236003038571443,-10.40842453088467,8.087679415135814e-18,8.075559297,9.499159600857144,2.1860997459112104e-16,True,Downregulated in Tumor,15.660330026233275
DOCK9,-1.1885269036439148,-10.389272862276181,8.189389508681134e-18,8.393906931172413,9.582433834816328,2.209173636922665e-16,True,Downregulated in Tumor,15.655770148051714
SMAD6,-1.717381686541521,-12.291587741345985,8.654103019903569e-18,6.800874598948275,8.518256285489796,2.3298845082469466e-16,True,Downregulated in Tumor,15.632665606301956
TFAP2A,1.1059183129655183,10.98314824891627,1.2554013665499161e-17,7.686472407965518,6.580554094999999,3.3399113127799443e-16,True,Upregulated in Tumor,15.476265065188931
CDKN1C,-1.178146819050668,-10.325654268465845,1.3000576653147723e-17,7.980217684275863,9.158364503326531,3.4519212861943317e-16,True,Downregulated in Tumor,15.461939116016273
TPX2,1.0980078606875443,10.731553551536342,1.446737458150166e-17,8.540596104034483,7.442588243346939,3.8080256404095293e-16,True,Upregulated in Tumor,15.419300136062017
CES1 /// LOC100653057,-1.8963265627804358,-10.473378391469488,1.4794753910931566e-17,8.691265724137931,10.587592286918367,3.8825456137134004e-16,True,Downregulated in Tumor,15.410883433302518
TCF4,-1.003414391510205,-10.723991972913362,1.5925294818545836e-17,10.145954174,11.149368565510205,4.1470204137311554e-16,True,Downregulated in Tumor,15.382263826813707
FEN1,1.0490176202178043,10.638224177584991,1.960793790035938e-17,8.57774975425862,7.528732134040816,5.047643442349658e-16,True,Upregulated in Tumor,15.296911330564459
KLF9,-1.4036142915615795,-10.74421900498909,2.0292336694822466e-17,8.208538621724136,9.612152913285716,5.213896015789461e-16,True,Downregulated in Tumor,15.282837634506233
NDNF,-1.5472184407304752,-10.504999614782653,2.0774666279236785e-17,9.223415920310343,10.770634361040818,5.317606340225098e-16,True,Downregulated in Tumor,15.27428381642078
CLDN4,1.1221913786055602,10.547252150537163,2.092727296371619e-17,8.28717398525862,7.16498260665306,5.34654242163751e-16,True,Upregulated in Tumor,15.271926982958087
NET1,1.400379946542225,10.469031168262298,2.17577498681836e-17,10.14484783260345,8.744467886061225,5.53777757944447e-16,True,Upregulated in Tumor,15.256664491342296
NPR3,-1.0538419128075294,-10.30037105830633,2.4413392345543227e-17,8.555828185396551,9.60967009820408,6.155727566231655e-16,True,Downregulated in Tumor,15.21072060896733
